id,role,industry,experience_level,years_experience,education_level,resume_text,technical_skills,project_count,certification_count,github_projects,salary_expectation,location,selected,interview_score,ats_score,culture_fit_score
14,Android Developer,Manufacturing,Mid,12,PhD,"Experienced Android Developer with 3 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",9,0,0,83255,On-site,False,0.32421249176128936,84,0.9496757342592744
15,ML Engineer,Finance,Lead,4,Bachelor,"Experienced ML Engineer with 5 years in software development. Proficient in MLOps, Python, AWS, PyTorch. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",2,4,1,145692,Remote,False,0.42302425918193526,75,0.7215510474140139
16,Full Stack Developer,Healthcare,Senior,9,Bachelor,"Experienced Full Stack Developer with 4 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",7,3,11,130079,On-site,True,0.5107374312673023,83,0.5331273395726923
17,ML Engineer,Healthcare,Mid,7,Bachelor,"Experienced ML Engineer with 3 years in software development. Proficient in MLOps, Python, Kubernetes, TensorFlow. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Kubernetes']",5,4,9,132742,On-site,False,0.7923596500058028,72,0.6197681514972386
18,UI/UX Designer,Finance,Principal,6,Bachelor,"Experienced UI/UX Designer with 6 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",6,1,5,80747,Remote,False,0.8181049108798062,70,0.9819282358757586
19,Backend Developer,E-commerce,Senior,1,High School,"Experienced Backend Developer with 4 years in software development. Proficient in Java, Django, Spring, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Strong', 'Django', 'Proficient', 'Developer', 'Led', 'Spring', 'Backend', 'Java']",5,2,10,129041,Hybrid,True,0.3636384816431852,41,0.6585392081648824
20,Cloud Architect,Healthcare,Senior,14,Master,"Experienced Cloud Architect with 4 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",7,4,3,120471,On-site,False,0.7054921919164783,70,0.7698235278062622
21,UI/UX Designer,E-commerce,Lead,8,Master,"Experienced UI/UX Designer with 5 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",2,1,0,127623,Hybrid,False,0.7764079662724873,80,0.7298115445274684
22,Product Manager,Finance,Principal,14,High School,"Experienced Product Manager with 6 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",5,3,18,36159,Hybrid,False,0.6465145121661516,55,0.5805382953629408
23,Full Stack Developer,E-commerce,Lead,5,Master,"Experienced Full Stack Developer with 5 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",6,0,9,42168,Hybrid,False,0.9931013521453964,53,0.7607152343379058
24,ML Engineer,Manufacturing,Principal,8,High School,"Experienced ML Engineer with 6 years in software development. Proficient in MLOps, TensorFlow, Docker, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Experienced']",3,0,3,43191,Hybrid,False,0.7357033427405237,84,0.720343608341394
25,Android Developer,Education,Senior,1,PhD,"Experienced Android Developer with 4 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",8,2,8,103717,Remote,True,0.5209639317214106,64,0.955059315814516
26,QA Tester,E-commerce,Junior,1,High School,"Experienced QA Tester with 2 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",2,0,6,61855,On-site,False,0.8908259415868665,92,0.5205559391828611
27,ML Engineer,Manufacturing,Senior,13,High School,"Experienced ML Engineer with 4 years in software development. Proficient in Kubernetes, Docker, MLOps, PyTorch. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Kubernetes']",8,4,9,108492,On-site,False,0.5444125459536553,62,0.4077641629095856
28,UI/UX Designer,Manufacturing,Principal,0,High School,"Experienced UI/UX Designer with 6 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",1,3,16,134791,On-site,False,0.9269760789599724,63,0.8556066745150618
29,Mobile Developer,Manufacturing,Entry,5,High School,"Experienced Mobile Developer with 1 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",4,2,13,119069,Hybrid,True,0.8436844923501403,48,0.6524405722361124
30,UI/UX Designer,Manufacturing,Junior,7,Master,"Experienced UI/UX Designer with 2 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",6,0,1,72585,Hybrid,False,0.8263527731380591,85,0.5403249848229954
31,UI/UX Designer,E-commerce,Senior,4,Bachelor,"Experienced UI/UX Designer with 4 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",6,4,6,82451,Hybrid,False,0.7421875862098897,66,0.4325652674862832
32,QA Tester,Education,Principal,14,Master,"Experienced QA Tester with 6 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",4,2,0,82395,On-site,False,0.7390063886108635,87,0.7022036951422137
33,QA Tester,Finance,Junior,3,Bachelor,"Experienced QA Tester with 2 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",2,3,7,46236,Remote,False,0.7875100441021285,88,0.662207481941389
34,Security Engineer,Technology,Lead,5,Master,"Experienced Security Engineer with 5 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",9,2,10,62628,Remote,True,0.5406963738407595,53,0.4699365996598522
35,Mobile Developer,Healthcare,Entry,11,Master,"Experienced Mobile Developer with 1 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",3,0,18,38064,Hybrid,False,0.8952483099334074,88,0.6941433970555854
36,Security Engineer,Technology,Lead,6,High School,"Experienced Security Engineer with 5 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",3,3,18,31460,Remote,False,0.48684095480137773,58,0.886066500436073
37,Product Manager,Manufacturing,Entry,0,PhD,"Experienced Product Manager with 1 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",7,0,17,37832,On-site,True,0.816507968358188,61,0.7238282526059349
38,Android Developer,Technology,Senior,6,Bachelor,"Experienced Android Developer with 4 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",9,1,8,142258,On-site,True,0.3539743968360565,55,0.48779553089052563
39,ML Engineer,Technology,Junior,4,Master,"Experienced ML Engineer with 2 years in software development. Proficient in TensorFlow, AWS, Docker, PyTorch. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Experienced']",5,3,11,35409,Hybrid,False,0.9521367969973533,91,0.9643507858618243
40,UI/UX Designer,Technology,Junior,7,High School,"Experienced UI/UX Designer with 2 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",1,3,4,94278,On-site,False,0.863628145531482,58,0.46138310731656274
41,ML Engineer,E-commerce,Lead,9,Master,"Experienced ML Engineer with 5 years in software development. Proficient in PyTorch, Python, Docker, AWS. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Experienced']",5,1,1,65994,Hybrid,False,0.7781749201574206,85,0.6129417703587171
42,Android Developer,Healthcare,Mid,7,High School,"Experienced Android Developer with 3 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",6,4,10,141051,Remote,False,0.703711483915535,71,0.9909338424372804
43,UI/UX Designer,Manufacturing,Entry,4,Master,"Experienced UI/UX Designer with 1 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",2,2,7,86124,On-site,False,0.6876883772591753,55,0.7546017513903274
44,Data Scientist,Finance,Senior,10,Master,"Experienced Data Scientist with 4 years in software development. Proficient in TensorFlow, Scikit-learn, Pandas, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Scientist', 'Scikit', 'Proficient', 'Led', 'Pandas']",7,0,12,139770,Remote,True,0.9031355919473985,77,0.4286138068630158
45,Product Manager,Healthcare,Principal,6,Master,"Experienced Product Manager with 6 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",8,4,0,50942,Remote,True,0.36539414696938377,51,0.7639367318316093
46,Cloud Architect,Education,Principal,3,High School,"Experienced Cloud Architect with 6 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",3,0,8,76688,On-site,True,0.7790024219198824,45,0.8106802030647253
47,Data Scientist,E-commerce,Mid,2,High School,"Experienced Data Scientist with 3 years in software development. Proficient in SQL, Tableau, NumPy, Pandas. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Data', 'Strong', 'Scientist', 'Proficient', 'Led', 'Pandas', 'Tableau', 'Experienced']",3,2,10,115977,On-site,False,0.41213489162995093,78,0.9615669209176826
48,Full Stack Developer,Manufacturing,Senior,14,High School,"Experienced Full Stack Developer with 4 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",9,0,17,131780,Remote,True,0.8376848557220893,87,0.7778869233470278
49,Data Engineer,Education,Senior,0,High School,"Experienced Data Engineer with 4 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",3,3,6,84169,Hybrid,False,0.8902516094110553,46,0.9717869625427045
50,Data Scientist,Manufacturing,Junior,12,High School,"Experienced Data Scientist with 2 years in software development. Proficient in Pandas, Python, Scikit-learn, NumPy. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Scientist', 'Scikit', 'Proficient', 'Led', 'Pandas']",3,2,5,57884,On-site,False,0.5553528803540431,84,0.9906952086065708
51,Android Developer,E-commerce,Entry,1,Master,"Experienced Android Developer with 1 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",7,2,4,98825,Hybrid,False,0.4050470613918056,54,0.7330020618907371
52,UI/UX Designer,Education,Junior,11,Master,"Experienced UI/UX Designer with 2 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",1,1,11,49797,On-site,True,0.9338806133949469,80,0.7510737752248018
53,DevOps Engineer,Technology,Mid,12,High School,"Experienced DevOps Engineer with 3 years in software development. Proficient in Terraform, Ansible, Docker, AWS. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Terraform', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Ansible', 'Experienced']",7,1,12,130417,On-site,False,0.38862902533270477,76,0.884748736422273
54,ML Engineer,E-commerce,Senior,3,Bachelor,"Experienced ML Engineer with 4 years in software development. Proficient in Docker, PyTorch, Python, AWS. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Experienced']",4,1,6,61259,On-site,True,0.5853075963005354,47,0.6112237612434209
55,Mobile Developer,E-commerce,Mid,0,Bachelor,"Experienced Mobile Developer with 3 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",7,4,2,40798,Hybrid,False,0.7855958540412038,75,0.5173460623575542
56,Product Manager,E-commerce,Entry,3,Bachelor,"Experienced Product Manager with 1 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",1,2,4,119864,On-site,False,0.524624446306223,58,0.824665278352883
57,UI/UX Designer,Technology,Lead,11,Master,"Experienced UI/UX Designer with 5 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",9,4,9,120093,Hybrid,False,0.9279797324094365,57,0.5691199407446419
58,QA Tester,Healthcare,Senior,0,PhD,"Experienced QA Tester with 4 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",7,1,13,98281,On-site,True,0.7752575860635457,40,0.6482537541925522
59,Mobile Developer,Healthcare,Mid,7,Master,"Experienced Mobile Developer with 3 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",3,2,10,43755,On-site,False,0.5922427322675677,68,0.7390703364689195
60,DevOps Engineer,Finance,Junior,10,Bachelor,"Experienced DevOps Engineer with 2 years in software development. Proficient in Jenkins, Ansible, AWS, Docker. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Jenkins', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Ansible', 'Experienced']",1,4,10,114594,Remote,False,0.5100983318909535,46,0.9819347920144789
61,Backend Developer,Technology,Senior,8,Bachelor,"Experienced Backend Developer with 4 years in software development. Proficient in PostgreSQL, SQL, Python, Node.js. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Node', 'Strong', 'Proficient', 'Developer', 'Led', 'Backend', 'Experienced']",1,4,15,115500,Remote,True,0.9993051705346707,72,0.7272342205421243
62,Product Manager,Education,Principal,5,Bachelor,"Experienced Product Manager with 6 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",3,0,9,116541,Hybrid,False,0.7350655224837472,66,0.47300246000987123
63,Backend Developer,Education,Principal,11,Bachelor,"Experienced Backend Developer with 6 years in software development. Proficient in Java, Spring, Node.js, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Node', 'Strong', 'Proficient', 'Developer', 'Led', 'Spring', 'Backend']",9,1,19,89174,On-site,False,0.43023374021144034,55,0.6835477804999823
64,Mobile Developer,Manufacturing,Junior,11,Bachelor,"Experienced Mobile Developer with 2 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",1,3,9,45339,Remote,True,0.9854845816418965,54,0.918242910918812
65,ML Engineer,Finance,Entry,11,High School,"Experienced ML Engineer with 1 years in software development. Proficient in Kubernetes, TensorFlow, Python, AWS. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Kubernetes']",4,1,17,88213,Hybrid,True,0.872735742950147,68,0.7325990305459187
66,ML Engineer,Manufacturing,Principal,3,Master,"Experienced ML Engineer with 6 years in software development. Proficient in PyTorch, MLOps, TensorFlow, Kubernetes. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Strong', 'Proficient', 'Engineer', 'Led', 'Kubernetes']",8,2,8,116995,Hybrid,False,0.466718703013539,56,0.47536241541905533
67,Data Scientist,Manufacturing,Entry,5,Bachelor,"Experienced Data Scientist with 1 years in software development. Proficient in Tableau, NumPy, TensorFlow, Pandas. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Data', 'Strong', 'Scientist', 'Proficient', 'Led', 'Pandas', 'Tableau', 'Experienced']",3,2,12,110906,Remote,False,0.8989033737259291,70,0.7381812969359487
68,Cloud Architect,Finance,Mid,1,PhD,"Experienced Cloud Architect with 3 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",1,1,16,124519,On-site,False,0.9411406656422583,61,0.5208384427186632
69,Android Developer,Technology,Junior,10,PhD,"Experienced Android Developer with 2 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",7,4,15,65717,Hybrid,False,0.823741129186311,44,0.8635109155887603
70,Product Manager,Healthcare,Junior,3,PhD,"Experienced Product Manager with 2 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",8,2,1,139927,On-site,False,0.6226112401578257,54,0.8837860125411554
71,DevOps Engineer,Education,Junior,12,High School,"Experienced DevOps Engineer with 2 years in software development. Proficient in Kubernetes, Ansible, CI/CD, AWS. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Strong', 'Proficient', 'Engineer', 'Led', 'Ansible', 'Kubernetes']",2,3,1,31167,On-site,False,0.39180695194803505,57,0.668522970498036
72,Data Scientist,E-commerce,Junior,2,PhD,"Experienced Data Scientist with 2 years in software development. Proficient in TensorFlow, Scikit-learn, Tableau, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Data', 'Strong', 'Scientist', 'Scikit', 'Proficient', 'Led', 'Tableau', 'Experienced']",9,0,15,122659,Remote,True,0.7682216826599848,87,0.48021360913897737
73,Mobile Developer,Technology,Mid,9,Master,"Experienced Mobile Developer with 3 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",3,3,6,109460,On-site,False,0.37334005512197455,91,0.8887959208317593
74,Data Scientist,E-commerce,Mid,9,Bachelor,"Experienced Data Scientist with 3 years in software development. Proficient in SQL, Python, NumPy, Scikit-learn. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Scientist', 'Scikit', 'Proficient', 'Led', 'Experienced']",4,1,0,119615,Remote,False,0.5247340280735342,61,0.7624948090472186
